DATE_TIME,AWAY,HOME
2017-01-15 12:30:00,CHA,DET
2017-01-15 10:30:00,HOU,LAC
2017-01-15 5:30:00,LAL,MEM
2017-01-15 8:00:00,SAC,OKC
2017-01-15 1:00:00,TOR,PHI
2017-01-15 9:00:00,IND,UTA
2017-01-15 2:00:00,MIL,WAS
2017-01-16 7:30:00,NOP,BOS
2017-01-16 9:00:00,DAL,DEN
2017-01-16 7:00:00,MIN,ORL
2017-01-16 10:00:00,PHX,POR
2017-01-17 7:30:00,NOP,ATL
2017-01-17 7:30:00,SAS,BKN
2017-01-17 8:00:00,GSW,CHI
2017-01-17 7:00:00,WAS,CHA
2017-01-17 10:30:00,DEN,LAC
2017-01-17 8:00:00,NYK,MEM
2017-01-17 8:00:00,MIA,MIL
2017-01-17 8:00:00,LAL,OKC
2017-01-17 10:00:00,UTA,SAC
2017-01-17 7:30:00,DET,TOR
2017-01-18 7:00:00,PHI,BOS
2017-01-18 7:00:00,ORL,CLE
2017-01-18 9:30:00,MIN,HOU
2017-01-18 10:00:00,IND,POR
2017-01-19 7:30:00,MIA,BKN
2017-01-19 9:00:00,PHX,DEN
2017-01-19 8:00:00,WAS,DET
2017-01-19 10:30:00,IND,LAL
2017-01-19 8:00:00,SAC,MEM
2017-01-19 7:00:00,SAS,TOR
2017-01-19 10:30:00,NYK,UTA
2017-01-20 5:00:00,CHI,ATL
2017-01-20 7:00:00,MIA,CHA
2017-01-20 3:30:00,OKC,CLE
2017-01-20 8:30:00,GSW,HOU
2017-01-20 9:00:00,TOR,MIN
2017-01-20 7:00:00,MEM,NOP
2017-01-20 7:30:00,MIL,PHI
2017-01-20 10:00:00,DAL,POR
2017-01-20 9:00:00,LAC,UTA
2017-01-21 1:00:00,ORL,BOS
2017-01-21 4:00:00,BKN,DET
2017-01-21 3:30:00,NYK,LAL
2017-01-21 7:00:00,IND,SAS
2017-01-22 7:30:00,UTA,ATL
2017-01-22 7:00:00,SAC,CHA
2017-01-22 8:30:00,WAS,DAL
2017-01-22 9:00:00,POR,DEN
2017-01-22 8:00:00,MIA,HOU
2017-01-22 10:30:00,MIN,LAC
2017-01-22 8:00:00,PHI,MEM
2017-01-22 8:00:00,PHX,MIL
2017-01-22 8:00:00,CHI,NOP
2017-01-23 10:30:00,NYK,GSW
2017-01-23 10:30:00,BOS,LAL
2017-01-23 8:00:00,BKN,OKC
2017-01-23 7:00:00,SAC,ORL
2017-01-23 8:00:00,CLE,SAS
2017-01-24 7:30:00,TOR,ATL
2017-01-24 7:00:00,NOP,CHA
2017-01-24 8:00:00,HOU,DAL
2017-01-24 7:00:00,UTA,DET
2017-01-24 7:00:00,PHX,IND
2017-01-24 10:30:00,BOS,LAC
2017-01-24 8:00:00,SAS,MEM
2017-01-24 7:00:00,CHI,PHI
2017-01-24 10:00:00,MIN,POR
2017-01-25 9:00:00,NYK,DEN
2017-01-25 10:30:00,MIN,GSW
2017-01-25 7:30:00,SAC,MIA
2017-01-25 8:00:00,WAS,OKC
2017-01-26 8:00:00,LAL,CHI
2017-01-26 7:00:00,ATL,CHA
2017-01-26 7:30:00,IND,CLE
2017-01-26 8:30:00,POR,DAL
2017-01-26 8:00:00,LAC,MEM
2017-01-26 8:00:00,BKN,MIL
2017-01-26 8:00:00,HOU,NOP
2017-01-26 9:00:00,NYK,PHX
2017-01-26 8:30:00,PHI,SAS
2017-01-26 7:30:00,UTA,TOR
2017-01-27 7:30:00,WAS,ATL
2017-01-27 9:00:00,DAL,DEN
2017-01-27 5:00:00,OKC,DET
2017-01-27 8:30:00,BOS,GSW
2017-01-27 7:00:00,ORL,IND
2017-01-27 7:30:00,CHA,MIA
2017-01-27 9:00:00,BKN,MIN
2017-01-28 3:30:00,MIL,CHI
2017-01-28 6:00:00,DET,CLE
2017-01-28 3:30:00,PHX,HOU
2017-01-28 4:00:00,LAC,NOP
2017-01-28 6:00:00,PHI,OKC
2017-01-28 7:00:00,SAC,SAS
2017-01-28 6:00:00,LAL,TOR
